,0,1,2,3,4
0,47.07,107.49,158.83,181.15,2.95
1,47.07,107.49,158.83,181.15,2.95
2,-43.66,0.0,-35.31,-1.7,0.41
3,43.66,0.0,35.31,176.0,2.92
4,9.57,223.99,145.01,190.0,3.17
5,9.57,223.99,145.01,180.3,2.86
6,128.91,1783.38,530.03,123.0,2.01
7,148.23,2890.6,846.99,117.3,1.89
8,19.91,208.49,97.7,222.0,3.72
9,228.23,208.49,661.32,139.3,2.28
10,705.23,3350.99,1729.87,83.15,1.35
11,541.91,3350.99,1428.27,83.15,1.35
12,177.57,1719.99,840.04,121.65,2.0
13,177.57,1719.99,733.49,121.65,2.0
14,0.0,1781.38,508.66,144.0,2.39
15,0.0,15353.6,895.95,122.3,2.01
16,0.0,195.49,201.79,186.0,3.06
17,0.0,195.49,201.79,179.3,2.96
18,63.23,2398.38,852.55,101.0,1.7
19,39.91,13591.6,1387.89,98.3,1.59
20,54.57,2811.99,811.04,119.15,1.97
21,54.57,2811.99,786.62,119.15,1.97
22,654.91,4433.38,1545.68,65.15,0.99
23,934.23,17329.6,1849.39,65.15,0.94
24,208.91,2279.38,817.51,113.0,1.89
25,734.23,2769.6,1925.33,83.3,1.35
26,815.23,4753.6,2100.44,60.65,0.98
27,792.91,4346.38,1834.35,60.65,0.98
