,0,1,2,3,4
0,159.02,3117.65,602.02,187.22,3.05
1,87.52,3476.0,593.6,187.22,3.05
2,76.27,1638.83,568.47,194.22,3.17
3,76.27,1638.83,540.7,194.22,3.16
4,78.27,1341.83,481.3,178.16,2.91
5,78.27,1341.83,490.45,196.27,3.13
6,77.77,1805.83,554.69,198.27,3.24
7,77.77,1805.83,493.7,191.16,3.1
8,78.27,1499.33,457.19,186.16,3.01
9,78.27,1499.33,484.27,191.27,3.11
10,77.77,1585.33,547.59,196.27,3.24
11,77.77,1585.33,445.34,187.16,3.04
12,80.27,1512.83,534.77,190.16,3.1
13,80.27,1512.83,534.77,198.27,3.26
14,81.27,1469.83,456.74,186.16,3.05
15,81.27,1469.83,515.28,186.27,3.07
16,78.77,1577.33,527.32,195.72,3.22
17,78.77,1577.33,527.32,195.72,3.22
18,82.27,1703.33,548.3,192.16,3.18
19,82.27,1703.33,548.3,192.27,3.18
20,79.77,1357.33,409.0,161.16,2.64
21,79.77,1357.33,409.0,171.27,2.79
22,79.77,1495.83,469.1,169.16,2.79
23,79.77,1495.83,533.05,188.27,3.1
24,78.77,1523.83,522.86,192.22,3.16
25,78.77,1523.83,522.86,192.22,3.16
26,79.77,2662.65,526.67,191.16,3.15
27,79.77,19098.0,583.19,191.27,3.15
