,0,1,2,3,4
0,32.56,592.17,77.41,283.0,4.68
1,32.05,592.17,72.29,283.0,4.68
2,31.8,452.54,65.59,291.07,4.79
3,31.8,1000.8,64.23,283.92,4.7
4,31.05,1156.8,65.73,297.92,4.8
5,31.56,722.54,65.73,298.07,4.85
6,32.56,457.17,78.06,273.92,4.55
7,32.05,457.17,65.53,287.07,4.63
8,31.8,325.67,59.06,265.07,4.41
9,31.8,325.67,54.77,264.92,4.39
10,30.8,826.8,74.73,280.92,4.55
11,30.8,477.54,66.45,301.07,4.94
12,41.56,1062.8,98.92,262.92,4.34
13,41.05,597.54,79.25,308.07,5.12
14,39.8,1047.67,94.05,273.0,4.45
15,39.8,1047.67,71.86,273.0,4.45
16,39.8,1100.67,73.24,268.07,4.44
17,39.8,1100.67,73.24,260.92,4.25
18,42.56,398.17,113.55,269.0,4.41
19,40.05,398.17,85.22,269.0,4.41
20,39.05,973.54,87.27,283.07,4.7
21,39.56,1251.8,98.54,262.92,4.31
22,74.56,766.17,139.9,256.92,4.25
23,74.05,766.17,126.35,259.07,4.25
24,74.8,1068.54,127.36,270.0,4.42
25,74.8,1632.8,127.36,270.0,4.42
26,74.56,726.54,167.96,272.0,4.49
27,74.05,2685.8,156.39,272.0,4.49
