,0,1,2,3,4
0,16.99,0.0,0.0,299.2,4.95
1,16.99,0.0,0.0,299.2,4.95
2,16.49,9112.17,212.63,202.19,3.35
3,16.49,10611.1,212.63,235.21,3.88
4,16.49,0.0,0.0,304.21,5.03
5,16.49,0.0,0.0,303.19,4.98
6,17.99,0.0,0.0,289.2,4.79
7,17.99,0.0,0.0,289.2,4.79
8,19.99,770.17,63.41,265.21,4.34
9,19.99,1403.1,63.41,255.19,4.21
10,19.99,0.0,0.0,291.7,4.81
11,19.99,0.0,0.0,291.7,4.81
12,17.49,0.0,0.0,295.2,4.88
13,17.49,0.0,0.0,295.2,4.88
14,17.99,0.0,0.0,286.21,4.74
15,17.99,0.0,0.0,281.19,4.65
16,17.99,0.0,0.0,294.2,4.88
17,17.99,0.0,0.0,294.2,4.88
18,16.99,4992.1,104.63,248.19,4.12
19,16.99,375.17,69.65,272.21,4.47
20,7.66,343.17,183.23,261.21,4.31
21,50.32,10180.1,1800.37,97.19,1.61
22,18.49,105.64,0.0,257.19,4.22
23,18.49,105.64,0.0,266.21,4.41
24,18.49,648.64,90.62,229.7,3.74
25,18.49,648.64,90.62,229.7,3.74
26,18.49,567.14,155.64,235.7,3.87
27,18.49,567.14,155.64,235.7,3.87
