,0,1,2,3,4
0,212.53,2999.66,338.48,239.94,4.0
1,212.53,2999.66,277.36,239.94,4.04
2,203.53,442.16,234.98,250.44,4.17
3,203.53,442.16,234.98,250.44,4.19
4,202.53,2793.66,247.54,254.44,4.26
5,202.53,2793.66,247.54,254.44,4.26
6,202.53,3973.11,284.34,228.94,3.75
7,202.53,1418.22,267.61,228.94,3.75
8,202.53,1282.22,237.88,241.44,4.01
9,202.53,2437.11,237.88,241.44,4.01
10,203.53,2830.11,309.63,240.44,4.02
11,203.53,1094.22,261.68,240.44,4.02
12,202.53,465.16,229.05,262.44,4.37
13,202.53,465.16,229.05,262.44,4.37
14,200.53,814.22,232.23,255.44,4.21
15,200.53,2348.11,232.23,255.44,4.21
16,213.76,828.22,241.85,240.94,4.02
17,205.29,1278.11,241.85,240.94,4.02
18,192.03,2377.11,239.57,258.44,4.33
19,192.03,851.22,230.26,258.44,4.33
20,212.76,605.66,244.43,257.94,4.31
21,204.29,605.66,244.43,257.94,4.31
22,192.53,684.66,232.33,248.44,4.13
23,192.53,684.66,232.33,248.44,4.13
24,177.76,0.0,199.84,230.49,3.86
25,-1.71,0.0,-6.19,1.39,0.63
26,190.53,930.22,234.76,249.49,4.22
27,190.53,2316.11,236.16,225.39,3.66
