,0,1,2,3,4
0,89.65,781.19,156.77,260.85,4.29
1,89.65,781.19,156.77,282.57,4.54
2,83.66,292.69,144.02,278.57,4.62
3,87.63,292.69,144.02,265.85,4.35
4,92.63,667.95,145.16,286.85,4.66
5,85.66,745.44,145.16,290.57,4.82
6,88.63,1517.44,152.65,268.85,4.4
7,87.66,634.95,148.47,286.57,4.71
8,85.63,1027.44,138.03,278.21,4.57
9,84.66,387.95,136.28,278.21,4.57
10,86.15,547.19,143.98,289.71,4.78
11,86.15,547.19,143.98,289.71,4.78
12,87.63,1107.44,152.17,260.21,4.28
13,83.66,829.95,152.17,260.21,4.28
14,86.15,494.19,145.69,283.85,4.7
15,86.15,494.19,145.69,291.57,4.83
16,92.63,325.69,147.9,273.85,4.49
17,88.66,325.69,147.9,289.57,4.75
18,86.65,361.95,149.9,263.71,4.35
19,86.65,773.44,149.9,263.71,4.35
20,86.66,1074.95,161.77,297.21,4.92
21,87.63,1289.44,161.77,297.21,4.92
22,86.63,353.95,150.1,296.57,4.92
23,84.66,709.44,154.96,277.85,4.59
24,90.66,2380.44,266.04,252.85,4.15
25,92.63,514.95,161.97,294.57,4.87
26,94.65,2043.19,207.9,256.71,4.2
27,94.65,2043.19,207.9,256.71,4.2
