,0,1,2,3,4
0,38.5,1921.42,129.02,227.41,3.78
1,37.15,1105.68,81.02,298.19,4.95
2,38.5,2929.55,132.21,257.41,4.22
3,36.15,2929.55,127.99,262.19,4.34
4,36.82,2374.42,104.95,282.3,4.65
5,36.82,1083.68,78.21,282.3,4.65
6,42.5,2999.68,124.98,265.19,4.4
7,39.15,3923.42,152.19,259.41,4.29
8,33.15,1560.42,82.31,269.41,4.4
9,36.5,514.68,76.94,307.19,5.06
10,34.32,2257.05,94.19,288.8,4.63
11,34.32,2257.05,99.81,288.8,4.65
12,37.5,3105.68,123.93,258.41,4.25
13,37.15,3519.42,123.93,259.19,4.27
14,39.15,2940.42,117.99,271.41,4.44
15,42.5,2653.68,107.05,293.19,4.84
16,46.5,2907.55,112.06,261.8,4.33
17,37.15,2907.55,108.99,261.8,4.33
18,36.32,230.68,86.58,303.19,5.04
19,36.32,1805.42,89.47,280.41,4.61
20,37.32,2755.05,112.9,279.19,4.63
21,37.32,2755.05,115.23,274.41,4.48
22,38.15,2065.42,110.28,263.41,4.33
23,42.5,650.68,84.76,284.19,4.56
24,35.82,2682.68,109.85,282.3,4.66
25,35.82,3355.42,117.03,282.3,4.66
26,39.15,2247.55,108.93,280.3,4.59
27,42.5,2247.55,108.93,280.3,4.59
