,0,1,2,3,4
0,222.03,2851.91,363.03,207.02,3.35
1,222.03,1842.22,297.82,201.96,3.34
2,212.03,916.22,317.03,226.02,3.67
3,212.03,2557.91,304.13,209.96,3.48
4,210.03,757.56,282.03,223.49,3.67
5,210.03,757.56,282.03,223.49,3.67
6,210.03,3089.06,335.97,206.99,3.42
7,210.03,3089.06,351.96,206.99,3.42
8,209.53,1064.91,280.53,212.96,3.52
9,209.53,634.22,280.53,229.02,3.75
10,211.53,2549.91,355.47,173.96,2.8
11,211.53,1237.22,355.47,220.02,3.65
12,210.03,1101.56,302.41,227.49,3.75
13,210.03,1101.56,303.57,227.49,3.75
14,209.53,1152.06,315.31,205.99,3.37
15,209.53,1152.06,315.31,205.99,3.37
16,231.4,576.56,278.58,214.49,3.45
17,201.67,576.56,279.42,214.49,3.45
18,199.03,649.06,286.38,224.96,3.66
19,199.03,649.06,266.33,236.02,3.88
20,231.4,633.22,321.15,223.99,3.69
21,201.67,1578.91,329.06,223.99,3.69
22,200.53,740.22,265.61,242.02,3.99
23,200.53,925.91,265.61,214.96,3.52
24,199.03,588.06,273.7,232.02,3.83
25,199.03,588.06,273.7,219.96,3.64
26,199.03,751.22,304.79,220.99,3.59
27,199.03,2563.91,304.79,220.99,3.59
