,0,1,2,3,4
0,15.87,274.34,60.12,268.93,4.43
1,16.06,274.34,60.12,281.11,4.58
2,15.46,5216.49,127.78,288.52,4.77
3,15.46,964.18,59.03,288.52,4.77
4,14.87,352.84,47.9,311.02,5.13
5,15.06,352.84,47.9,311.02,5.13
6,15.87,256.34,53.11,304.02,4.99
7,18.06,256.34,53.11,304.02,4.99
8,17.87,401.34,56.82,262.11,4.31
9,18.06,401.34,56.82,254.93,4.09
10,18.06,592.49,63.9,289.93,4.77
11,17.87,401.18,63.9,310.11,5.11
12,15.46,0.0,52.83,293.93,4.88
13,15.46,0.0,52.83,311.11,5.14
14,16.06,14.84,56.45,318.02,5.27
15,15.87,14.84,56.45,318.02,5.27
16,16.46,560.84,55.97,281.11,4.63
17,16.46,560.84,55.97,213.93,3.37
18,15.06,173.84,52.32,257.93,4.19
19,14.87,173.84,52.32,280.11,4.59
20,16.87,914.84,89.76,266.11,4.34
21,18.06,914.84,165.1,231.93,3.79
22,17.06,557.34,70.26,265.52,4.37
23,16.87,557.34,70.26,265.52,4.37
24,15.87,244.84,76.69,257.11,4.23
25,19.06,244.84,76.69,211.93,3.39
26,16.87,730.18,89.77,278.11,4.59
27,19.06,1499.49,264.21,228.93,3.79
