,0,1,2,3,4
0,154.35,7471.68,214.12,160.24,2.65
1,154.35,14566.43,214.12,160.24,2.65
2,163.85,0.0,123.13,200.24,3.28
3,163.85,0.0,123.13,200.24,3.28
4,154.35,0.0,142.27,205.15,3.4
5,154.35,0.0,142.27,190.33,3.14
6,159.85,0.0,136.22,236.74,3.77
7,159.85,0.0,136.22,236.74,3.77
8,157.85,0.0,164.02,211.15,3.42
9,157.85,0.0,183.11,201.33,3.33
10,136.42,-115.32,168.26,210.15,3.48
11,97.29,21209.43,576.16,133.33,2.21
12,90.29,35725.43,1020.37,105.24,1.75
13,142.42,19604.68,814.8,105.24,1.75
14,149.35,0.0,125.42,193.74,3.21
15,149.35,0.0,125.42,193.74,3.21
16,148.35,0.0,103.08,195.15,3.12
17,148.35,0.0,103.08,189.33,3.09
18,76.35,0.0,122.72,182.33,3.01
19,76.35,0.0,111.01,218.15,3.63
20,149.35,0.0,138.26,226.24,3.67
21,149.35,0.0,138.26,226.24,3.67
22,83.29,0.0,112.76,205.15,3.33
23,141.42,0.0,112.76,196.33,3.24
24,75.85,0.0,72.83,213.74,3.54
25,75.85,0.0,72.83,213.74,3.54
26,74.85,1731.43,132.45,192.15,3.16
27,74.85,-202.32,110.83,191.33,3.16
