,0,1,2,3,4
0,13.47,9351.07,244.72,196.31,3.21
1,13.47,4733.0,244.72,196.31,3.21
2,12.97,9750.0,360.1,167.82,2.77
3,12.97,15226.07,446.78,162.8,2.69
4,13.97,4781.07,44.08,253.8,4.19
5,13.97,613.0,44.08,261.82,4.31
6,13.97,10366.07,94.37,216.8,3.57
7,13.97,1098.0,94.37,243.82,4.04
8,15.97,0.0,104.14,220.81,3.64
9,15.97,0.0,214.51,220.81,3.64
10,14.97,67.53,19.44,254.31,4.22
11,14.97,67.53,19.44,254.31,4.22
12,12.97,0.0,0.0,278.81,4.58
13,12.97,0.0,0.0,278.81,4.58
14,12.97,0.0,7.25,262.82,4.32
15,12.97,0.0,7.25,260.8,4.32
16,12.97,116.53,0.0,246.81,4.08
17,12.97,116.53,0.0,246.81,4.08
18,32.34,3932.07,407.83,164.8,2.67
19,15.6,3838.0,139.36,249.82,4.01
20,5.6,2047.0,192.58,223.82,3.72
21,17.34,11219.07,1230.25,105.8,1.74
22,15.97,0.0,166.84,203.82,3.36
23,15.97,0.0,166.84,192.8,3.14
24,15.6,0.0,261.52,203.82,3.34
25,17.34,0.0,310.43,190.8,3.13
26,17.34,150.53,279.92,189.8,3.12
27,4.6,150.53,255.88,223.82,3.7
