,0,1,2,3,4
0,23.38,4530.64,481.93,150.27,2.47
1,23.38,10124.59,723.61,141.21,2.34
2,23.38,776.64,114.08,251.27,4.14
3,23.38,7496.59,313.47,210.21,3.46
4,23.88,2265.12,360.5,186.21,3.05
5,23.88,2265.12,275.99,225.27,3.73
6,23.38,918.12,212.45,238.74,3.93
7,23.38,918.12,212.45,238.74,3.93
8,23.38,2119.64,186.35,224.27,3.7
9,23.38,2640.59,392.17,204.21,3.36
10,23.38,1365.62,199.98,226.74,3.73
11,23.38,1365.62,199.98,226.74,3.73
12,23.38,1421.62,286.97,201.21,3.33
13,23.38,1421.62,200.95,244.27,4.04
14,17.05,511.62,152.45,249.74,4.12
15,22.72,511.62,152.45,249.74,4.12
16,22.72,543.62,110.0,265.21,4.36
17,17.05,543.62,49.34,270.27,4.36
18,16.38,0.0,66.5,289.24,4.8
19,16.38,0.0,66.5,289.24,4.8
20,16.38,0.0,28.85,289.27,4.78
21,16.38,0.0,28.85,288.21,4.77
22,16.38,333.12,44.16,280.21,4.64
23,16.38,333.12,44.16,289.27,4.81
24,16.38,0.0,47.2,285.27,4.72
25,16.38,0.0,47.2,259.21,4.27
26,16.38,0.0,34.13,254.21,4.16
27,16.38,0.0,34.13,287.27,4.73
