,0,1,2,3,4
0,70.72,1009.65,0.0,222.75,3.73
1,70.72,1009.65,0.0,222.75,3.73
2,68.72,5767.18,0.0,181.06,2.99
3,68.72,1832.13,0.0,188.45,3.05
4,118.33,5625.18,0.0,201.75,3.39
5,119.12,837.13,0.0,201.75,3.39
6,63.72,233.65,0.0,241.75,4.04
7,63.72,233.65,0.0,241.75,4.04
8,766.12,14416.18,6170.74,12.06,0.18
9,116.33,1513.13,167.84,206.45,3.52
10,-2.67,0.0,0.0,-10.94,0.3
11,13.12,0.0,0.0,232.45,3.97
12,63.72,821.65,0.0,229.75,3.86
13,63.72,821.65,0.0,229.75,3.86
14,63.22,2951.18,0.0,236.25,3.93
15,63.22,1382.13,0.0,236.25,3.93
16,66.72,761.15,0.0,217.25,3.63
17,66.72,761.15,0.0,217.25,3.63
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,125.12,351.15,0.0,28.06,2.05
21,115.33,351.15,0.0,208.45,3.45
22,61.22,399.15,0.0,233.25,3.91
23,61.22,399.15,0.0,233.25,3.91
24,56.72,1435.15,0.0,224.25,3.74
25,56.72,1435.15,0.0,224.25,3.74
26,59.22,264.65,0.0,215.25,3.52
27,59.22,264.65,0.0,215.25,3.52
