,0,1,2,3,4
0,65.37,4023.21,265.13,198.17,3.23
1,65.37,699.27,130.19,244.4,3.98
2,58.87,9395.27,485.34,149.28,2.45
3,58.87,11686.21,493.76,149.28,2.45
4,60.87,5541.21,275.73,224.17,3.7
5,60.87,1956.27,130.54,251.4,4.07
6,59.37,7380.21,210.65,206.17,3.35
7,59.37,4102.27,193.8,225.4,3.71
8,61.87,11690.21,554.47,164.17,2.72
9,61.87,1474.27,143.57,257.4,4.23
10,79.87,892.74,223.51,223.28,3.68
11,79.87,892.74,223.51,223.28,3.68
12,78.37,1105.74,216.83,232.78,3.83
13,78.37,1105.74,216.83,232.78,3.83
14,75.87,346.27,175.64,229.4,3.78
15,75.87,4247.21,233.36,220.17,3.64
16,77.37,1060.27,195.55,221.4,3.65
17,77.37,2387.21,195.55,214.17,3.51
18,77.37,1128.24,267.34,218.28,3.61
19,77.37,1128.24,227.38,218.28,3.61
20,4.23,733.24,132.34,263.4,4.36
21,69.51,733.24,169.7,257.17,4.24
22,72.87,287.24,150.86,243.28,4.03
23,72.87,287.24,150.86,243.28,4.03
24,73.87,560.24,197.0,258.4,4.28
25,73.87,560.24,197.0,212.17,3.46
26,70.87,0.0,142.9,243.28,3.97
27,70.87,0.0,142.9,243.28,3.97
