,0,1,2,3,4
0,45.22,1309.02,259.03,225.0,3.73
1,49.41,794.48,167.92,264.38,4.39
2,51.41,500.75,132.06,288.19,4.77
3,48.22,500.75,132.06,288.19,4.77
4,47.32,959.48,142.25,279.69,4.61
5,47.32,1144.02,149.53,279.69,4.61
6,38.22,1178.48,118.31,280.38,4.64
7,39.41,1418.02,140.57,194.0,3.17
8,41.41,1737.02,129.36,246.19,4.02
9,36.22,1077.48,121.86,246.19,4.02
10,34.32,809.02,100.41,271.0,4.47
11,34.32,485.48,114.03,282.38,4.68
12,34.32,1387.25,119.81,265.69,4.4
13,34.32,1387.25,119.81,265.69,4.4
14,41.41,1275.02,193.48,170.0,2.81
15,35.22,649.48,125.48,287.38,4.76
16,33.82,617.02,92.03,269.0,4.44
17,33.82,602.48,92.33,277.38,4.57
18,56.41,924.75,157.2,213.0,3.44
19,43.22,924.75,122.63,253.38,4.17
20,43.32,672.25,125.29,256.38,4.17
21,43.32,672.25,135.04,204.0,3.33
22,51.41,1659.02,133.79,252.19,4.13
23,37.22,1642.48,133.79,252.19,4.13
24,43.41,824.02,123.75,268.19,4.41
25,39.22,774.48,119.3,268.19,4.41
26,41.82,711.48,131.69,273.69,4.52
27,41.82,1127.02,131.69,273.69,4.52
