,0,1,2,3,4
0,39.08,0.0,54.86,282.49,4.68
1,39.08,0.0,54.86,289.16,4.77
2,39.58,0.0,49.97,279.32,4.62
3,39.58,0.0,49.97,279.32,4.62
4,39.58,0.0,47.88,288.16,4.77
5,39.58,0.0,47.88,280.49,4.64
6,38.58,0.0,45.5,285.49,4.71
7,38.58,0.0,45.5,290.16,4.78
8,40.08,0.0,47.57,284.32,4.68
9,40.08,0.0,47.57,284.32,4.68
10,40.08,0.0,50.5,263.49,4.34
11,40.08,0.0,50.5,300.16,4.97
12,39.58,517.99,57.64,248.49,4.09
13,39.58,517.99,57.64,269.16,4.44
14,39.08,0.0,42.02,265.32,4.36
15,39.08,0.0,42.02,265.32,4.36
16,38.58,0.0,33.35,273.16,4.54
17,38.58,0.0,33.35,270.49,4.42
18,38.08,0.0,45.46,298.49,4.87
19,38.08,0.0,45.46,301.16,4.99
20,40.08,16303.31,515.28,182.49,2.99
21,40.08,594.67,84.51,260.16,4.25
22,54.29,0.0,77.82,295.32,4.9
23,41.88,0.0,77.82,295.32,4.9
24,38.58,0.0,27.16,279.16,4.49
25,38.58,0.0,27.16,278.49,4.49
26,52.29,0.0,66.57,293.49,4.84
27,39.88,0.0,65.5,304.16,5.0
