,0,1,2,3,4
0,149.68,3004.4,871.4,126.02,2.07
1,134.05,3004.4,871.4,134.46,2.17
2,171.68,3870.9,1152.93,119.24,1.95
3,149.05,3870.9,1152.93,119.24,1.95
4,143.86,2736.4,619.15,180.46,3.0
5,143.86,2736.4,918.84,138.02,2.26
6,133.05,2798.9,610.0,175.46,2.84
7,138.68,2798.9,610.0,175.02,2.84
8,137.36,3078.4,877.74,144.02,2.38
9,137.36,3078.4,670.61,174.46,2.89
10,141.36,3101.4,1071.42,129.02,2.11
11,141.36,3101.4,680.24,175.46,2.9
12,169.68,3179.4,736.38,157.02,2.59
13,148.05,3179.4,736.38,162.46,2.7
14,130.05,28278.29,586.01,169.46,2.81
15,138.68,6355.51,671.68,149.02,2.46
16,143.36,3431.9,680.82,160.46,2.64
17,143.36,3431.9,693.54,157.02,2.58
18,157.68,3380.9,891.11,131.02,2.17
19,152.05,3380.9,750.46,141.46,2.34
20,138.68,2860.9,712.75,166.02,2.72
21,127.05,2860.9,483.35,201.46,3.35
22,129.05,3276.9,694.69,159.46,2.63
23,136.68,3276.9,694.69,146.02,2.41
24,143.86,4063.9,793.88,149.46,2.46
25,143.86,4063.9,812.81,144.02,2.38
26,175.68,3538.4,627.15,168.24,2.79
27,153.05,3538.4,648.26,168.24,2.79
