,0,1,2,3,4
0,7.94,944.19,31.93,258.28,4.23
1,7.94,944.19,31.93,258.28,4.23
2,7.94,769.19,24.07,297.25,4.9
3,7.94,769.19,24.07,268.3,4.43
4,7.94,1411.57,43.27,253.28,4.15
5,7.94,2783.81,70.67,253.28,4.15
6,7.94,2656.19,30.29,282.25,4.53
7,7.94,2656.19,41.34,280.3,4.53
8,7.94,429.81,15.49,269.78,4.24
9,7.94,429.57,15.49,269.78,4.24
10,7.94,819.19,29.25,295.78,4.87
11,7.94,819.19,52.96,295.78,4.87
12,7.94,308.57,28.24,324.25,5.36
13,7.94,640.81,28.24,315.3,5.21
14,7.94,424.81,32.13,250.3,4.13
15,7.94,366.57,32.13,273.25,4.5
16,7.94,794.81,24.11,291.25,4.82
17,7.94,751.57,24.11,275.3,4.57
18,7.94,766.57,22.42,307.25,5.09
19,7.94,825.81,22.42,293.3,4.83
20,7.94,635.81,19.34,309.3,4.95
21,7.94,600.57,28.36,326.25,5.4
22,7.94,555.57,35.2,271.28,4.48
23,7.94,1482.81,86.09,271.28,4.48
24,7.87,1683.81,105.83,288.3,4.75
25,7.0,683.57,25.67,322.25,5.33
26,7.94,2356.81,61.77,295.25,4.74
27,7.94,2261.57,68.09,252.3,4.15
