,0,1,2,3,4
0,114.03,2558.67,214.84,235.38,3.79
1,114.03,2624.29,214.84,252.48,4.18
2,113.03,938.67,177.42,273.48,4.5
3,113.03,1127.29,177.42,250.38,4.12
4,113.53,761.67,187.0,266.48,4.4
5,113.53,927.29,187.0,259.38,4.27
6,113.53,1264.29,194.69,270.93,4.49
7,113.53,1131.67,200.92,270.93,4.49
8,114.53,1249.29,187.06,255.38,4.2
9,114.53,825.67,187.06,275.48,4.57
10,115.53,2007.29,220.48,229.38,3.73
11,115.53,638.67,200.52,271.48,4.48
12,114.03,1105.67,213.0,274.93,4.57
13,114.03,1303.29,213.0,274.93,4.57
14,114.03,1517.98,236.54,198.38,3.27
15,114.03,1517.98,211.22,249.48,4.13
16,115.03,1441.67,204.56,256.48,4.25
17,115.03,1611.29,204.56,252.38,4.19
18,116.03,1818.67,218.14,236.48,3.89
19,116.03,2033.29,218.14,231.38,3.81
20,124.99,2188.67,258.68,253.93,4.19
21,177.06,3044.29,293.27,253.93,4.19
22,116.53,1732.48,254.03,234.38,3.89
23,116.53,1732.48,254.03,238.48,3.95
24,123.99,1393.98,238.47,242.93,4.01
25,175.06,1393.98,238.47,242.93,4.01
26,176.06,1513.29,253.1,252.43,4.15
27,127.99,1502.67,245.69,252.43,4.15
