,0,1,2,3,4
0,30.47,2091.86,57.67,213.74,3.47
1,23.0,2091.86,57.67,217.26,3.58
2,28.47,1001.36,44.34,289.26,4.76
3,23.0,1001.36,44.34,283.74,4.69
4,23.0,1022.36,58.89,258.26,4.27
5,28.47,1022.36,58.89,238.74,3.95
6,20.74,1187.36,66.9,232.74,3.86
7,20.74,1187.36,66.9,242.26,3.98
8,20.24,1205.84,36.57,269.26,4.38
9,20.24,1438.88,36.57,254.74,4.21
10,20.74,1283.36,66.25,268.5,4.44
11,20.74,1283.36,66.25,268.5,4.44
12,20.24,2132.84,133.42,242.26,4.02
13,20.24,3025.88,372.59,167.74,2.76
14,25.47,2019.88,217.64,190.74,3.13
15,22.0,1737.84,130.31,265.26,4.4
16,26.47,2261.88,222.89,208.74,3.41
17,22.0,1352.84,73.02,227.26,3.75
18,20.74,2230.88,66.6,236.5,3.88
19,20.74,606.84,66.6,236.5,3.88
20,19.74,969.86,60.81,270.5,4.38
21,19.74,969.86,60.81,270.5,4.38
22,19.74,1160.36,49.0,262.26,4.28
23,19.74,1160.36,49.0,229.74,3.81
24,19.24,1642.84,111.26,268.5,4.43
25,19.24,2086.88,111.26,268.5,4.43
26,21.0,2103.84,114.49,269.26,4.42
27,26.47,5183.88,117.72,214.74,3.54
