,0,1,2,3,4
0,13.58,309.55,58.76,249.72,4.1
1,12.83,309.55,55.95,320.15,5.29
2,12.71,0.0,51.79,277.94,4.57
3,12.71,0.0,44.74,277.94,4.57
4,12.71,509.55,64.4,269.44,4.39
5,12.71,509.55,58.68,269.44,4.39
6,11.83,0.0,50.73,292.15,4.8
7,12.58,0.0,50.73,276.72,4.51
8,12.71,0.0,36.54,264.72,4.32
9,12.71,0.0,36.54,308.15,5.08
10,11.71,267.05,49.79,315.15,5.1
11,11.71,267.05,49.87,291.72,4.82
12,13.58,18455.35,106.37,299.15,4.95
13,12.83,1374.75,54.74,293.72,4.82
14,12.71,0.0,49.25,283.15,4.67
15,12.71,0.0,49.25,282.72,4.67
16,13.58,100.55,47.09,325.44,5.39
17,12.83,100.55,47.09,325.44,5.39
18,12.71,133.55,47.27,299.15,4.96
19,12.71,133.55,51.13,285.72,4.51
20,13.71,418.05,44.35,298.44,4.91
21,13.71,418.05,66.16,298.44,4.91
22,13.71,0.0,55.4,320.15,5.31
23,13.71,0.0,70.32,314.72,5.19
24,13.71,196.55,59.72,319.94,5.27
25,13.71,196.55,59.72,319.94,5.27
26,13.71,2561.35,110.76,306.94,5.08
27,13.71,2326.75,96.42,306.94,5.08
