,0,1,2,3,4
0,39.64,1263.33,90.72,261.5,4.32
1,39.34,502.39,70.92,309.7,5.1
2,40.64,425.39,76.56,301.1,4.94
3,40.34,513.33,64.86,301.1,4.94
4,40.34,746.39,72.32,321.1,5.31
5,40.64,930.33,72.32,321.1,5.31
6,39.99,626.36,72.14,294.1,4.83
7,39.99,626.36,75.72,294.1,4.83
8,39.99,841.33,72.65,297.7,4.92
9,39.99,708.39,69.11,286.5,4.68
10,39.99,234.36,67.9,290.5,4.8
11,39.99,234.36,67.9,300.7,4.96
12,40.34,1041.36,75.77,306.7,5.07
13,43.64,1041.36,75.77,280.5,4.6
14,44.34,1080.33,76.6,309.7,5.13
15,44.64,893.39,76.6,250.5,4.13
16,44.34,1266.33,85.76,292.7,4.85
17,44.64,777.39,79.59,268.5,4.42
18,44.34,677.36,94.2,283.1,4.68
19,44.64,677.36,89.81,283.1,4.68
20,43.99,442.39,90.83,303.6,5.04
21,43.99,541.33,90.83,303.6,5.04
22,44.64,399.36,85.6,322.5,5.35
23,44.34,399.36,78.88,322.7,5.35
24,44.64,415.36,72.4,312.5,5.1
25,43.34,415.36,69.62,320.7,5.3
26,43.64,246.36,88.81,318.5,5.22
27,43.34,246.36,67.16,321.7,5.32
