,0,1,2,3,4
0,39.62,0.0,0.0,262.85,4.3
1,39.62,0.0,0.0,262.85,4.3
2,39.12,0.0,0.0,266.35,4.38
3,39.12,0.0,0.0,266.35,4.38
4,38.62,0.0,0.0,297.35,4.93
5,38.62,0.0,0.0,297.35,4.93
6,39.62,7.81,12.67,287.58,4.74
7,39.62,7.81,12.67,216.12,3.44
8,38.62,0.0,0.0,295.85,4.91
9,38.62,0.0,0.0,295.85,4.91
10,39.62,0.0,0.0,315.85,5.24
11,39.62,0.0,0.0,315.85,5.24
12,38.62,0.0,0.0,294.35,4.88
13,38.62,0.0,0.0,294.35,4.88
14,39.62,0.0,0.0,303.58,5.04
15,39.62,0.0,0.0,279.12,4.6
16,38.62,0.0,0.0,281.85,4.67
17,38.62,0.0,0.0,281.85,4.67
18,38.62,0.0,0.0,289.35,4.71
19,38.62,0.0,0.0,289.35,4.71
20,39.12,30511.6,1461.22,114.12,1.89
21,39.12,892.02,90.58,287.58,4.77
22,52.33,0.0,0.0,249.12,4.06
23,40.91,0.0,0.0,253.58,4.19
24,39.12,0.0,0.0,285.85,4.68
25,39.12,0.0,0.0,285.85,4.68
26,53.33,0.0,0.0,277.58,4.56
27,40.91,0.0,0.0,266.12,4.32
