,0,1,2,3,4
0,3.79,1240.63,30.39,213.68,3.53
1,3.79,1240.63,30.39,236.65,3.93
2,3.79,2056.02,31.77,281.17,4.61
3,3.79,1098.23,27.25,281.17,4.61
4,2.98,1551.13,26.89,252.17,4.14
5,3.61,1551.13,36.18,252.17,4.14
6,2.79,1360.23,25.27,273.67,4.53
7,2.79,2102.02,39.3,273.67,4.53
8,2.79,1947.02,22.05,288.65,4.74
9,2.79,1388.23,22.05,255.68,4.22
10,2.79,310.63,13.48,280.17,4.63
11,2.79,310.63,13.48,280.17,4.63
12,2.79,1259.23,19.78,305.65,5.06
13,2.79,2171.02,38.46,304.68,4.99
14,2.79,2338.02,36.47,252.68,4.16
15,2.79,967.23,29.84,295.65,4.88
16,3.61,1806.23,25.98,285.17,4.69
17,2.98,2876.02,34.59,285.17,4.69
18,1.98,1986.02,60.83,238.68,3.93
19,2.61,1438.23,25.58,292.65,4.86
20,2.98,1391.63,23.09,296.67,4.9
21,3.61,1391.63,31.05,296.67,4.9
22,3.61,976.23,22.14,289.65,4.77
23,1.98,2859.02,56.68,240.68,3.96
24,2.79,1175.02,18.94,259.17,4.23
25,2.79,726.23,18.94,259.17,4.23
26,2.79,550.23,19.06,308.65,5.05
27,2.79,1996.02,52.63,236.68,3.89
