,Av,Rt,Th,Cost
2015-03-08,0.38178624181426934,0.2980581818552406,0.6966173105824104,0.6640138474801277
2015-03-09,0.3609133382718992,0.3138814285996826,0.6344350632617719,0.752659561008673
2015-03-10,0.4405907845927699,0.2925399399307262,0.6395038378678147,0.5362729637845453
2015-03-11,0.4991548707894914,0.19715750994541642,0.6613220435806108,0.7857534674634021
2015-03-12,0.539132827236049,0.1598174769719845,0.6603868574015052,0.6754615375687226
2015-03-13,0.5217061005024687,0.3113040531240247,0.6414716580794605,0.5704542575858295
2015-03-14,0.5363218142293324,0.22436118395727994,0.626482156153059,0.7102905397041661
2015-03-15,0.5171408848658183,0.2628208695887542,0.6206121471833627,0.6411539652367979
2015-03-16,0.4566825066876842,0.2845395599058899,0.6048469691966953,0.694304910161216
2015-03-17,0.4685092773872898,0.2160948842279108,0.6742698362541052,0.7065974972372122
2015-03-18,0.47016414084408475,0.21781061426514559,0.698061004402279,0.6324936743328579
2015-03-19,0.5706499150982091,0.2039226752162161,0.6911528587873087,0.6444317184732573
2015-03-20,0.5829077538213292,0.2834793961482622,0.6566926132196261,0.6148556002714326
2015-03-21,0.4192329972631801,0.21054212663184996,0.6479962197781922,0.6422921585316901
2015-03-22,0.4896351531612116,0.21934294336247034,0.6783120872686617,0.6305537063946945
2015-03-23,0.48045297640693674,0.31980188852107944,0.6883923562833116,0.5811480723004686
2015-03-24,0.4878037094610175,0.32238733243064954,0.6579912545164678,0.5991519646159863
2015-03-25,0.42283915553077484,0.316662339822375,0.6640042470259055,0.6018610620063412
2015-03-26,0.39134370456253453,0.2008225211283824,0.6774033448861043,0.5627008720345941
2015-03-27,0.42519570763915593,0.25144613102482427,0.677015904784161,0.645036426180815
2015-03-28,0.458518810780804,0.3154107445813747,0.6767549323440115,0.60865931204802
2015-03-29,0.5664152072422834,0.23399140987560452,0.6799536548685181,0.6357743694058278
2015-03-30,0.46674979931967825,0.40339036386057114,0.6937780439324429,0.6443657961824061
2015-03-31,0.47819940173563247,0.32707130841967397,0.7592658608256733,0.6429515378000421
2015-04-01,0.6494540275202542,0.2996206813243922,0.7144645207906412,0.6988598733079954
2015-04-02,0.6432901961998863,0.30601313805675434,0.635771860519707,0.7137900229411054
2015-04-03,0.5292188256028698,0.3584411307547587,0.732917582127548,0.7911063871528212
2015-04-04,0.6278562000208818,0.33794752938673234,0.699451679250273,0.67226746700091
2015-04-05,0.5067067990448754,0.41489970899045747,0.7251868313560004,0.679837193588504
2015-04-06,0.6006112531147155,0.33400986131549487,0.67713452016016,0.5834097435876385
2015-04-07,0.5488962351464592,0.39331066513370094,0.7214939438600312,0.6425055666368588
2015-04-08,0.6654680077449823,0.31810278761524236,0.6860011698893561,0.6924917078698645
2015-04-09,0.6663438245550088,0.39758333667715673,0.7484271635591063,0.6964400240069243
2015-04-10,0.6525892953083431,0.3922064008045791,0.7450400833311621,0.7007024909253758
