trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1277,False,"{'a': 0.002, 'e': 0.07776996315843764}",25,8,-24.049723503215564,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
1278,False,"{'a': 0.002, 'e': 0.07761457866840563}",25,4,21.538303765774675,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
1279,False,"{'a': 0.002, 'e': 0.07745950463679176}",30,14,33.97527900705012,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1280,False,"{'a': 0.002, 'e': 0.07730474044329974}",25,3,7.75277133929953,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
1281,False,"{'a': 0.002, 'e': 0.07715028546887258}",20,11,16.709883598552306,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1282,False,"{'a': 0.002, 'e': 0.07699613909569011}",30,13,27.980293203329172,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1283,False,"{'a': 0.002, 'e': 0.07684230070716673}",20,16,7.303483442576269,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1284,False,"{'a': 0.002, 'e': 0.0766887696879486}",25,7,19.77950016625152,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
1285,False,"{'a': 0.002, 'e': 0.07653554542391151}",20,3,-31.213764423014972,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
1286,False,"{'a': 0.002, 'e': 0.07638262730215813}",30,17,-20.126419721383595,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
1287,False,"{'a': 0.002, 'e': 0.07623001471101583}",20,13,10.709087266687398,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1288,False,"{'a': 0.002, 'e': 0.07607770704003398}",25,16,19.959133363572104,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1289,False,"{'a': 0.002, 'e': 0.07592570367998178}",25,13,22.001939271352732,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1290,False,"{'a': 0.002, 'e': 0.07577400402284548}",30,2,8.493343298663532,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 0}",1
1291,False,"{'a': 0.002, 'e': 0.07562260746182634}",20,10,6.635724364874084,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1292,False,"{'a': 0.002, 'e': 0.07547151339133784}",30,13,6.461311235502028,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
1293,False,"{'a': 0.002, 'e': 0.07532072120700357}",20,8,23.57889121596361,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1294,False,"{'a': 0.002, 'e': 0.07517023030565453}",30,7,-20.46276583268244,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
1295,False,"{'a': 0.002, 'e': 0.07502004008532698}",20,11,4.121491043796867,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1296,False,"{'a': 0.002, 'e': 0.07487014994525974}",20,11,3.6297708183786606,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1297,False,"{'a': 0.002, 'e': 0.07472055928589216}",25,17,15.404371105906321,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1298,False,"{'a': 0.002, 'e': 0.07457126750886131}",30,11,25.43116867841198,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1299,False,"{'a': 0.002, 'e': 0.07442227401699995}",25,13,21.47735298059175,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1300,False,"{'a': 0.002, 'e': 0.07427357821433388}",30,18,19.730788841189057,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1301,False,"{'a': 0.002, 'e': 0.0741251795060797}",20,11,17.361035681672597,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1302,False,"{'a': 0.002, 'e': 0.07397707729864236}",25,9,17.493608063844576,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
1303,False,"{'a': 0.002, 'e': 0.0738292709996129}",25,8,30.24739953350086,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1304,False,"{'a': 0.002, 'e': 0.07368176001776583}",30,8,-6.169293479803228,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 0}",1
1305,False,"{'a': 0.002, 'e': 0.0735345437630571}",25,15,18.889532262178466,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1306,False,"{'a': 0.002, 'e': 0.07338762164662144}",25,7,10.861666487178537,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
1307,False,"{'a': 0.002, 'e': 0.07324099308077024}",25,9,28.993831099212013,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1308,False,"{'a': 0.002, 'e': 0.07309465747898901}",20,0,29.413578612646432,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1309,False,"{'a': 0.002, 'e': 0.07294861425593517}",30,13,19.0075022764154,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
1310,False,"{'a': 0.002, 'e': 0.07280286282743559}",20,0,-21.328553060468728,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
1311,False,"{'a': 0.002, 'e': 0.07265740261048442}",20,10,16.546113631955244,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1312,False,"{'a': 0.002, 'e': 0.07251223302324053}",20,7,26.41986251454673,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1313,False,"{'a': 0.002, 'e': 0.07236735348502546}",20,8,20.825052384145494,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1314,False,"{'a': 0.002, 'e': 0.07222276341632078}",20,10,19.269674225969748,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1315,False,"{'a': 0.002, 'e': 0.0720784622387661}",20,1,31.146375395334836,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1316,False,"{'a': 0.002, 'e': 0.07193444937515645}",20,11,6.922841179240062,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1317,False,"{'a': 0.002, 'e': 0.07179072424944025}",25,2,-34.31696142519731,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 1}",1
1318,False,"{'a': 0.002, 'e': 0.07164728628671672}",20,6,21.701306895245295,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1319,False,"{'a': 0.002, 'e': 0.0715041349132339}",20,9,18.192605348587637,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1320,False,"{'a': 0.002, 'e': 0.07136126955638605}",20,12,15.366917729103333,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1321,False,"{'a': 0.002, 'e': 0.0712186896447116}",25,19,11.589079529562614,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1322,False,"{'a': 0.002, 'e': 0.07107639460789066}",20,16,6.125682294841578,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1323,False,"{'a': 0.002, 'e': 0.07093438387674295}",20,12,16.69999810511043,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1324,False,"{'a': 0.002, 'e': 0.0707926568832253}",20,15,10.655645314215072,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1325,False,"{'a': 0.002, 'e': 0.0706512130604296}",30,17,13.294844639691618,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1326,False,"{'a': 0.002, 'e': 0.0705100518425803}",25,14,18.217984274260495,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1327,False,"{'a': 0.002, 'e': 0.07036917266503243}",25,7,10.672684679797268,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
1328,False,"{'a': 0.002, 'e': 0.07022857496426901}",20,13,11.81981530609078,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1329,False,"{'a': 0.002, 'e': 0.07008825817789911}",20,2,30.1386410340322,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1330,False,"{'a': 0.002, 'e': 0.06994822174465536}",25,18,14.447127528331194,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1331,False,"{'a': 0.002, 'e': 0.06980846510439187}",20,7,24.87856619044578,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1332,False,"{'a': 0.002, 'e': 0.06966898769808184}",20,0,15.414986928985806,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
1333,False,"{'a': 0.002, 'e': 0.06952978896781553}",20,12,17.715199515564443,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1334,False,"{'a': 0.002, 'e': 0.06939086835679777}",25,13,12.396582625791995,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
1335,False,"{'a': 0.002, 'e': 0.069252225309346}",20,16,9.01808569078916,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1336,False,"{'a': 0.002, 'e': 0.06911385927088774}",20,13,12.821902517136742,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1337,False,"{'a': 0.002, 'e': 0.06897576968795878}",25,7,18.062600703919998,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
1338,False,"{'a': 0.002, 'e': 0.06883795600820049}",20,16,9.381153439280757,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1339,False,"{'a': 0.002, 'e': 0.06870041768035805}",30,13,29.063101840759998,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1340,False,"{'a': 0.002, 'e': 0.06856315415427791}",20,0,5.361617067121077,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
1341,False,"{'a': 0.002, 'e': 0.06842616488090583}",25,13,17.05403148895421,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1342,False,"{'a': 0.002, 'e': 0.06828944931228448}",30,18,23.111546175636608,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1343,False,"{'a': 0.002, 'e': 0.06815300690155146}",30,17,18.254313402160758,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1344,False,"{'a': 0.002, 'e': 0.06801683710293688}",25,15,11.894067154346667,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
1345,False,"{'a': 0.002, 'e': 0.06788093937176144}",20,7,10.632909159017409,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
1346,False,"{'a': 0.002, 'e': 0.06774531316443397}",20,9,21.984455573661684,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1347,False,"{'a': 0.002, 'e': 0.0676099579384495}",25,13,19.333003262502956,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1348,False,"{'a': 0.002, 'e': 0.0674748731523869}",25,13,5.4789403544822015,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1349,False,"{'a': 0.002, 'e': 0.06734005826590692}",20,0,36.64987265225385,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1350,False,"{'a': 0.002, 'e': 0.06720551273974976}",25,15,15.349806354394646,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1351,False,"{'a': 0.002, 'e': 0.06707123603573319}",20,12,16.229926699442508,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1352,False,"{'a': 0.002, 'e': 0.06693722761675015}",20,8,16.667538132907378,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
1353,False,"{'a': 0.002, 'e': 0.06680348694676687}",25,20,9.636348717332806,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1354,False,"{'a': 0.002, 'e': 0.06667001349082043}",30,16,26.557813625661566,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1355,False,"{'a': 0.002, 'e': 0.06653680671501686}",20,15,10.50447170752505,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
