37,1285,98.2,219,3.61
24,2541,81.64,239,3.95
34,513,60.42,250,4.14
24,1191,60.43,259,4.29
24,4077,80.52,302,4.96
34,1907,80.54,244,4.0
24,475,51.98,241,4.0
24,1154,58.1,249,4.09
23,506,51.42,297,4.88
23,2441,55.99,240,3.95
25,1006,66.23,272,4.51
25,1673,63.56,306,5.07
25,3415,124.52,288,4.57
26,3008,266.64,194,3.17
31,4573,363.38,176,2.89
24,1086,81.36,241,4.0
32,3499,197.42,238,3.8
24,1333,48.46,274,4.5
25,2399,159.58,212,3.49
23,698,52.1,297,4.91
21,1018,59.64,328,5.45
21,2233,78.57,274,4.52
22,2823,81.33,305,5.03
22,3829,89.35,246,3.96
21,2340,80.64,314,5.18
22,1872,123.03,241,3.91
22,2001,75.63,264,4.34
30,5633,182.91,204,3.38
