163,1356,227.85,201,3.28
163,802,220.12,261,4.33
163,644,218.54,260,4.27
181,3318,241.94,275,4.57
182,661,230.36,282,4.66
159,786,225.44,267,4.41
159,3160,222.94,284,4.72
159,476,232.01,247,3.99
158,944,196.27,218,3.51
159,728,218.75,244,4.04
158,3268,237.41,277,4.59
159,686,233.48,235,3.87
159,528,239.0,252,4.18
159,1038,209.72,247,4.1
158,453,207.96,264,4.37
158,488,224.41,284,4.7
162,1577,251.04,272,4.51
158,974,205.88,277,4.49
159,421,230.68,283,4.71
158,1480,217.23,250,4.16
158,655,225.42,275,4.54
170,426,243.67,275,4.55
159,403,233.37,280,4.65
166,732,270.72,258,4.29
159,438,213.11,290,4.78
82,372,109.0,290,4.8
84,630,130.64,312,5.17
83,382,128.08,313,5.2
