39,1275,90.22,286,4.65
41,996,80.28,328,5.44
40,2557,112.34,294,4.87
39,361,66.49,333,5.51
40,818,80.72,297,4.87
39,374,69.56,333,5.48
39,560,73.06,315,5.04
40,750,92.12,287,4.74
39,353,74.06,331,5.49
39,324,63.69,309,5.09
41,1022,86.38,289,4.75
40,884,78.62,311,5.13
40,598,75.7,323,5.35
40,443,69.44,289,4.8
38,653,72.84,269,4.37
40,837,68.43,316,5.25
40,415,67.43,287,4.76
39,519,70.07,339,5.64
39,769,87.03,308,5.08
40,403,68.13,301,4.9
39,18842,569.82,189,3.12
40,751,87.28,291,4.83
55,1743,126.46,253,4.18
40,297,75.33,332,5.51
40,515,64.76,305,5.01
40,2067,76.48,302,4.98
54,1137,126.35,278,4.59
41,1192,82.04,300,4.93
