39,5278,137.23,304,5.02
38,1002,77.7,291,4.81
38,1595,90.72,286,4.56
36,1436,94.39,286,4.73
36,3311,166.52,285,4.69
36,883,70.98,292,4.82
35,1366,79.45,277,4.58
36,2850,112.83,313,5.17
36,1161,63.38,295,4.76
36,1048,79.47,280,4.53
36,786,75.56,310,5.14
36,983,85.96,311,5.12
35,1080,78.46,281,4.66
24,9083,199.5,282,4.67
21,948,53.8,292,4.85
20,1295,67.06,304,5.02
22,631,60.79,290,4.78
24,975,54.26,295,4.88
24,525,53.74,306,4.89
23,1250,55.05,266,4.39
19,1032,54.16,323,5.33
24,2093,77.11,290,4.8
19,833,56.62,276,4.55
19,1093,62.34,283,4.61
132,1495,275.46,232,3.84
130,1088,294.09,221,3.63
156,10949,947.66,121,1.97
180,952,311.14,223,3.67
