249,1577,490.65,188,3.12
381,3292,1528.72,112,1.84
242,1402,396.73,196,3.25
258,1799,596.88,193,3.16
253,991,431.01,218,3.6
305,2297,1273.84,133,2.21
261,3769,759.65,173,2.84
278,3696,753.0,155,2.54
197,3410,265.92,269,4.46
196,1020,244.15,234,3.77
195,766,258.01,256,4.25
194,1390,259.64,234,3.82
194,1325,246.55,235,3.9
193,729,237.81,243,3.94
198,844,248.08,245,4.0
195,1638,237.09,246,4.09
196,551,226.89,251,4.17
198,1268,233.29,219,3.62
192,437,245.88,273,4.52
191,483,237.44,250,4.11
189,541,226.81,258,4.26
191,785,300.36,261,4.3
189,420,244.41,277,4.6
191,993,234.83,224,3.69
191,754,228.29,250,4.15
191,1139,223.99,226,3.73
193,3351,276.66,254,4.15
220,1709,387.54,219,3.62
