40,1202,94.28,246,4.06
41,563,95.42,292,4.84
41,620,82.51,319,5.2
39,427,72.25,277,4.6
40,494,71.82,318,5.05
40,864,81.25,324,5.37
40,813,99.57,312,5.18
40,2155,98.87,297,4.93
41,867,96.4,311,5.13
40,557,67.06,301,4.89
40,533,88.54,265,4.38
40,573,75.04,283,4.69
50,2209,128.3,302,4.99
49,684,87.5,286,4.7
49,2851,121.08,286,4.68
47,373,76.04,319,5.27
47,338,78.77,328,5.41
48,540,79.11,304,4.7
52,979,129.99,284,4.68
48,778,109.06,313,5.2
47,390,93.83,323,5.37
48,689,106.45,295,4.88
82,1062,164.17,278,4.58
82,427,138.3,296,4.87
84,386,126.87,273,4.47
83,369,123.7,306,5.04
84,989,182.61,245,4.03
84,397,128.33,307,5.05
