74,6715,351.56,199,3.24
68,932,131.36,268,4.37
64,9628,486.51,167,2.74
65,14378,580.19,156,2.57
67,8233,362.16,225,3.71
66,2189,131.71,275,4.46
64,10072,297.08,207,3.36
66,4335,194.97,249,4.1
67,14382,640.9,165,2.73
68,1707,144.74,281,4.62
83,2159,249.68,231,3.8
88,2551,284.94,240,3.96
84,3064,242.87,240,3.98
84,2072,278.38,250,4.09
81,579,176.81,253,4.17
82,6939,319.79,221,3.65
84,1293,209.71,245,4.04
82,5079,268.98,215,3.52
83,2573,353.77,228,3.78
83,2608,228.55,233,3.85
5,1240,133.51,287,4.75
80,3151,256.13,258,4.25
78,2480,218.63,245,4.06
79,1019,170.69,266,4.41
81,1156,198.69,282,4.67
78,2889,282.91,213,3.47
74,890,171.67,248,4.07
79,1409,201.73,263,4.28
