159,5280,930.39,125,2.05
135,4369,953.09,152,2.46
181,5380,1248.21,123,1.99
150,6002,1198.32,132,2.19
148,4626,628.25,198,3.29
150,4487,1050.42,137,2.24
134,4474,695.5,193,3.11
148,4764,665.17,174,2.85
146,5469,1009.32,143,2.36
139,4328,679.71,192,3.18
149,5389,1203.0,128,2.09
144,4454,689.34,193,3.19
179,5180,837.3,156,2.57
149,4819,776.13,180,2.99
131,31711,595.11,187,3.1
148,6563,803.26,148,2.44
147,4841,689.92,178,2.93
150,5663,825.12,156,2.56
167,5527,1022.69,130,2.15
153,4875,759.56,159,2.63
148,5131,844.33,165,2.7
128,4231,492.45,219,3.64
130,5788,739.57,177,2.92
146,4406,790.49,145,2.39
150,5501,802.98,167,2.75
148,6267,944.39,143,2.36
185,5098,636.25,180,2.98
154,5619,779.84,173,2.87
