139,977,278.9,260,4.32
136,1638,281.9,227,3.74
143,1104,249.63,261,4.3
224,2145,450.13,211,3.47
135,713,225.55,279,4.64
158,2485,482.28,222,3.69
139,1748,266.39,225,3.72
148,1469,314.86,229,3.69
161,1979,419.25,222,3.6
167,4870,580.57,189,3.12
155,1555,367.63,202,3.29
140,2006,251.2,244,3.98
145,980,272.59,258,4.26
140,1179,234.07,257,4.27
132,1324,215.78,265,4.36
141,756,285.83,251,4.16
141,1968,284.29,247,4.1
134,1801,233.04,240,3.97
136,2194,242.49,250,4.13
150,1573,259.18,247,4.06
136,1352,293.74,216,3.58
142,1316,311.81,238,3.93
134,1020,243.53,251,4.12
135,1425,294.72,262,4.33
148,911,326.81,238,3.93
135,751,280.2,263,4.31
176,4535,535.51,209,3.46
159,1501,359.3,240,3.97
